title	text	source	language
"Implementing Microsoft Windows Server Disks and Volumes"	"Computer Science Course Syllabus
        Lesson 1 - Disks 

Select appropriate hardware disks based on your organization’s need.
	Initialize, format, and access server disk storage.
	Decide on and configure MBR and GPT partition styles.
	Implement different types of disks.
	Configure NTFS, FAT, and ReFS file systems.
 Lesson 2 – Volumes

Create and configure volumes.
	Resize (shrink and extend) volumes.
	Implement fault tolerant strategies.
	Create striped and spanned volumes.
	Create a disk mirror.
 Lesson 3 – Securing Disks and Volumes

Learn when to use BitLocker and what advantages the technology provides.
	Know when to use TPM and what capabilities it provides.
	Install the BitLocker feature and configure it using Group Policy settings.
	Enable BitLocker and encrypt drives.
	Configure and use Encrypted File System to encrypt files.
	Identify usage cases for EFS and BitLocker. One of the key components when you plan and deploy Microsoft Windows Server is storage. Most organizations require lots of storage because users and applications are constantly working with and creating data.

As a Microsoft Windows Server System Administrator you must be able to:  

Identify and decide on the type of storage your organization needs
	Manage disks, volumes, and file systems
	Use BitLocker to secure volumes
	Encrypt data with Encrypted File System (EFS)
This interactive computer science course teaches through video, discussion, practical exercises and assessments. Each topic is job- focused and designed to ensure you can confidently perform the task.

This course can help you:

Decide if a career in IT is for you
	Prepare for an introductory job in Windows Server administration
	Study for Microsoft certification tests and badges
	Improve your skills in handling disks and volumes, and securing Windows Server storage
Students taking this course will also be interested in INF201.22, Optimizing Windows Server Storage. INF201.22 builds on the foundational knowledge gained in this course." ,""	"English"	
"How to Create Vector Characters in Illustrator or Photoshop"	"A perfect video guide to drawing each element step by step." ,"coursetalk"	"en"	
"Windows PowerShell Fundamentals"	"Computer Science Interested in learning how to quickly automate basic administrative functions? Windows PowerShell is rapidly becoming the solution that Operators turn to with its powerful combination of a scripting language, command line speed, and GUI tools.

This course is an introduction to Windows PowerShell where you'll have an opportunity to learn how to replace manual, repetitive, and time-consuming operations with an automated solution.

In this course, you'll be introduced to the Windows PowerShell console and the Integrated Scripting Environment (ISE) as the main command line interfaces you'll use to work with PowerShell commands. Learn the importance of the Windows PowerShell Help system as the quickest way to discover the commands and associated syntax you need for the particular task you want to accomplish. Take advantage of the ISE's Intellisense features to learn PowerShell through syntax completion and sorting and filtering commands with the Show Command add-on.

This course focuses on using the pipeline in Windows PowerShell to construct both simple and more complex commands that you can use to do things like obtaining Active Directory data, and then processing and reporting on that data. Also, learn also how PSProviders and PSDrives work with disparate data sources, such as registry keys, certificates, files, folders, and more.

For creating reports in Windows PowerShell, you'll learn how to do basic formatting to produce lists and tables and then some more advanced formatting functionality. You'll additionally see how to create custom formatting options like sorting and grouping, and using a grid view to display regular objects in an interactive, graphical grid.

By the end of this course, you should be well on your way to creating scripts that save you time, accomplish tasks with greater efficiency, and allow you to be even more productive on the job. ​Basic concepts of Windows PowerShell
	How to navigate the Windows PowerShell Help system effectively
	An interactive command line interface
	An understanding of how to work with the Pipeline
	How to create reports
	Basic and advanced formatting functionality, to sort, group and create an interactive, graphical grid" ,""	"English"	
"Learn Programming: from Novice to JavaScript Guru in 2 Weeks"	"Step-by-step guide with all the tools and resources you need to master all
your web projects with ease and confidence" ,"coursetalk"	"en"	
"Statistical Inference"	"Mathematics, Information, Tech & Design, Statistics and Data Analysis In this class students will learn the fundamentals of statistical inference. Students will receive a broad overview of the goals, assumptions and modes of performing statistical inference. Students will be able to perform inferential tasks in highly targeted settings and will be able to use  the skills developed as a roadmap for more complex inferential challenges. Statistical inference is the process of drawing conclusions about populations or scientific truths from data. There are many modes of performing inference including statistical modeling, data oriented strategies and explicit use of designs and randomization in analyses. Furthermore, there are broad theories (frequentists, Bayesian, likelihood, design based, …) and numerous complexities (missing data, observed and unobserved confounding, biases) for performing inference. A practitioner can often be left in a debilitating maze of techniques, philosophies and nuance. This course presents the fundamentals of inference in a practical approach for getting things done. After taking this course, students will understand the broad directions of statistical inference and use this information for making informed choices in analyzing data. Learn how to draw conclusions about populations or scientific truths from data. This is the  sixth course in the Johns Hopkins Data Science Course Track." ,"Coursera"	"en"	
"Introduction to Robotics"	"This course is an introduction to the exciting world of robotics and the
mathematics and algorithms that underpin it. You’ll develop an understanding
of the representation of pose and motion, kinematics, dynamics and control.
You’ll also be introduced to the variety of robots and the diversity of tasks
to which this knowledge and skills can be applied, the role of robots in
society, and associated ethical issues. If you have access to a Lego
Mindstorms kit (9797) you will be able to build a simple robot arm and write
the control software for it." ,"coursetalk"	"en"	
"Learning JQuery Mobile The Easy Way"	"Learn JQuery for Mobile. Comes Complete with a Verifiable Certificate of
Completion." ,"coursetalk"	"en"	
"Android Apps in 1 Hour: No Coding Required"	"Build Android apps with this slick drag and drop system built by Google. No
monthly fees." ,"coursetalk"	"en"	
"Cyber-Physical Systems"	"Computer Science EECS149.1x introduces students to the design and analysis of cyber-physical systems --- computational systems that are integrated with physical processes. Applications of such systems include medical devices and systems, consumer electronics, toys and games, assisted living, traffic control and safety, automotive systems, process control, energy management and conservation, environmental control, aircraft control systems, communications systems, instrumentation, critical infrastructure control (electric power, water resources, and communications systems for example), robotics and distributed robotics (telepresence, telemedicine), defense systems, manufacturing, and smart structures.

A major theme of the course is on the interplay of practical design with formal models of systems, including both software components and physical dynamics. A major emphasis will be on building high confidence systems with real-time and concurrent behaviors. Students will apply concepts learned in lectures to programming a robotic controller in a specially-designed virtual laboratory environment with built-in automatic grading and feedback mechanisms.

This edX course is an online adaptation of the UC Berkeley undergraduate course EECS 149, covering a subset of topics that are especially relevant for the lab component of that class. Gain an understanding of the design and analysis of computational systems that are integrated with physical processes
	How to build high-confidence systems with real-time and concurrent behaviors
	How to program a robotic controller in a virtual laboratory environment" ,""	"English"	
"Circuits and Electronics 3: Applications"	"Electronics Course Syllabus
        Week 1: Second-order circuits, damping in second-order systems
 Week 2: Sinusoidal steady state analysis, frequency response, frequency response plots, impedance methods
 Week 3: Filters, quality factor, time and frequency domain responses
 Week 4: Op-amp abstraction, negative feedback, Op-amp amplifiers, Op-amp filters and other circuits
 Week 5: Stability, positive feedback, oscillators, energy and power
 Week 6: CMOS digital logic, breaking, the abstraction barrier Want to learn how your radio works? Wondering how to implement filters using resistors, inductors, and capacitors? Wondering what are some other applications of RLC and CMOS circuits? This free circuit course, taught by edX CEO and MIT Professor Anant Agarwal and MIT colleagues, is for you.

The third and final online Circuits and Electronics courses is taken by all MITElectrical Engineering and Computer Science (EECS) majors.

Topics covered include: dynamics of capacitor, inductor and resistor networks; design in the time and frequency domains; op-amps, and analog and digital circuits and applications. Design and lab exercises are also significant components of the course.

Weekly coursework includes interactive video sequences, readings from the textbook, homework, online laboratories, and optional tutorials. The course will also have a final exam.

This a self-paced course, so there are no weekly deadlines. However, all assignments are due by May 12, 2016, when the course will close.

Student Testimonials

“Brilliant course! It's definitely the best introduction to electronics in Universe! Interesting material, clean explanations, well prepared quizzes, challenging homeworks and fun labs.” - Ilya. 

“6.002x will be a classic in the field of online learning. It combines Prof. Agarwal's enthusiasm for electronics and education. The online circuit design program works very well. The material is difficult. I took the knowledge from the class and built an electronic cat feeder.” - Stan 

  How to construct and analyze filters using capacitors and inductors.
	How to use intuition to describe the approximate time and frequency behavior of second-order circuits containing energy storage elements (capacitors and inductors).
	The relationship between the mathematical representation of first-order circuit behavior and corresponding real-life effects.
	Circuits applications using op-amps.
	Measurement of circuit variables using tools such as virtual oscilloscopes, virtual multimeters, and virtual signal generators.
	How to compare the measurements with the behavior predicted by mathematical models and explain the discrepancies." ,""	"English"	
"Learning AutoCAD 2014 Drawing Essentials"	"Get started using AutoCAD now with this concise course taught by a leading
AutoCAD expert." ,"coursetalk"	"en"	
"Systematic Program Design - Part 1: The Core Method"	"Computer Science Course Syllabus
        Syllabus

This is a full university course broken into three parts:

In Part 1 you will learn the core design method with a focus on simple data. In this part of the course, we introduce the idea of structuring a program based on the data it consumes. This part concludes with the design of simple interactive programs. The final project is an interactive game.

In Part 2, the focus is on more elaborate forms of data that can be used for more complex information. You will learn when and how to structure data using lists and trees. The final project will be a more elaborate interactive game in which more complex data structures are required.

In Part 3 you will learn about search, generative recursion, graphs and how to blend different kinds of structuring patterns together in more complex programs.  This part of the course concludes with a complex puzzle solving program project.

The course uses a small teaching language that includes the core features of nearly all other languages like Python, Javascript, Ruby, Java etc. Less than a week is required to learn nearly the whole language—the entire rest of the course is spent on program design. The focus on design together with the core nature of the language means that everything you learn will be applicable in any other language you use in the future. This programming course is unique in focusing on learning a design method rather than a programming language.  This practical method builds on years of research into the structure of good programs that will help you channel your creativity to program well in any language.

A primary challenge in programming is deciding exactly what our program should do. The first contribution of the design method is a set of techniques that help you systematically develop your program requirements. You will also learn to produce programs with consistent structure that are easy to modify later. This is important because useful programs always require later improvements. In addition, you will learn how to make your programs more reliable by building tests as an integral part of the programming process.

 

See also:

Systematic Program Design - Part 2: Arbitrary Sized Data

Systematic Program Design - Part 3: Abstraction, Search and Graphs  

 How to represent information as data
	 How to focus each part of your program on a single task
	 How to use examples to clarify what your program should do
	 How to determine the proper tests for a program
	 How to simplify the structure of your program using common patterns" ,""	"English"	
"Web Intelligence and Big Data"	"Computer Science: Artificial Intelligence Introduction and Overview&nbsp;
Look: Search, Indexing and Memory
Listen: Streams, Information and Language, Analyzing Sentiment and Intent
Load: Databases and their Evolution, Big data Technology and TrendsProgramming: Map-Reduce
Learn: Classification, Clustering, and Mining, Information Extraction
Connect: Reasoning: Logic and its Limits, Dealing with UncertaintyProgramming: Bayesian Inference for Medical Diagnostics
Predict: Forecasting, Neural Models, Deep Learning, and Research TopicsData Analysis: Regression and&nbsp;Feature Selection The past decade has witnessed the successful of application of many AI techniques used at `web-scale’, on what are popularly referred to as big data platforms based on the map-reduce parallel computing paradigm and associated technologies such as distributed file systems, no-SQL databases and stream computing engines. Online advertising, machine translation, natural language understanding, sentiment mining, personalized medicine, and national security are some examples of such AI-based web-intelligence applications that are already in the public eye. Others, though less apparent, impact the operations of large enterprises from sales and marketing to manufacturing and supply chains. In this course we explore some such applications, the AI/statistical techniques that make them possible, along with parallel implementations using map-reduce and related platforms.

This course was offered thrice during Fall 2012, Spring 2012 and Fall 2013; in Fall of both years it was also taken for credit at IIT Delhi and IIIT Delhi. During this period, I also wrote a book to elucidate the ideas discussed in the course at a 'popular' level:

The Intelligent Web: Search, Smart Algorithms and Big Data published by Oxford University Press, UK, in November 2013.

 Now in this edition, the course is being offered in 'self-study' mode. This course is about building 'web-intelligence' applications exploiting big data sources arising social media, mobile devices and sensors, using new big-data platforms based on the 'map-reduce' parallel programming paradigm. In the past, this course has been offered at the Indian Institute of Technology Delhi as well as the Indraprastha Institute of Information Technology Delhi." ,"Coursera"	"en"	
"Multilingual CMS Website with PHP, MySQL, jQuery"	"Learn how to build a Multilingual Content Management System with PHP, MySQL
and jQuery." ,"coursetalk"	"en"	
"Introduction and Relational Databases"	"This mini-course provides a general introduction to databases, and introduces
the popular relational data model." ,"coursetalk"	"en"	
"Human-Computer Interaction Design"	"Computer Science: Software Engineering, Information, Tech & Design This course will be available in a self-paced format. The courses in the Interaction Design Specialization may be taken in any order.This course will help you build human-centered design skills, so that you have the principles and methods to create excellent interfaces with any technology.Module 1: IntroductionModule 2: NeedfindingModule 3: Rapid PrototypingModule 4:&nbsp;Heuristic EvaluationModule 5: Direct Manipulation and RepresentationsModule 6: Visual Design and Information DesignModule 7: Designing experiments In this course, you will learn how to design technologies that bring people joy, rather than frustration. You'll learn several techniques for rapidly prototyping and evaluating multiple interface alternatives -- and why rapid prototyping and comparative evaluation are essential to excellent interaction design. You'll learn how to conduct fieldwork with people to help you get design ideas. How to make paper prototypes and low-fidelity mock-ups that are interactive -- and how to use these designs to get feedback from other stakeholders like your teammates, clients, and users. You'll learn principles of visual design so that you can effectively organize and present information with your interfaces. You'll learn principles of perception and cognition that inform effective interaction design. And you'll learn how to perform and analyze controlled experiments online. In many cases, we'll use Web design as the anchoring domain. A lot of the examples will come from the Web, and we'll talk just a bit about Web technologies in particular. When we do so, it will be to support the main goal of this course, which is helping you build human-centered design skills, so that you have the principles and methods to create excellent interfaces with any technology. Helping you build human-centered design skills, so that you have the principles and methods to create excellent interfaces with any technology." ,"Coursera"	"en"	
"Algorithmic Thinking (Part 2)"	"Computer Science: Software Engineering, Computer Science: Theory Our course syllabus can be viewed at www.codeskulptor.org/coursera/algorithmicthinking.html. When presented with a problem from a scientific domain, a Computer Scientist goes through a set of steps in order to provide a solution for the problem. These steps include: (1) understanding the problem; (2) formulating the problem mathematically; (3) designing an algorithm; (4) implementing the algorithm; and (5) solving the original scientific problem. This course will train students in how to employ algorithmic thinking by following these five steps to solve real-world problems.&nbsp;Understanding the problem entails holding conversations with domain experts to understand the parameters of the problem, what data they can provide to the computer program, what answers they expect, etc. Formulating the problem mathematically is basically the step of turning the problem from an English description to a mathematical description that is amenable to further computational analyses.&nbsp;While the course emphasizes implementing the algorithms and solving the original problems that gave rise to the need for these algorithms in the first place, much of this two-part course (part 1 is available here) will be devoted to the third step, namely, algorithm design. Here, the course will introduce students to different algorithm design strategies, as well as mathematical tools for reasoning about the correctness and efficiency of algorithms. &nbsp; Experienced Computer Scientists analyze and solve computational problems at a level of abstraction that is beyond that of any particular programming language.  This two-part class is designed to train students in the mathematical concepts and process of "Algorithmic Thinking", allowing them to build simpler, more efficient solutions to computational problems." ,"Coursera"	"en"	
"Outlook Productivity"	"Outlook: Learn how to be more productive with Microsoft Outlook 2013 (or 2010)
from a productivity expert." ,"coursetalk"	"en"	
